ResultAnalyticalMethod.MethodName,n
Field Methods for Measurement of Core Parameters,295
"IN-SITU Smart Troll, Conductivity, Dissolved Oxygen, pH, and Temperature probe",288
4500 O G ~ Total Dissolved Oxygen by Membrane Electrode Method,286
Field Measure,285
R10PORTLANDHARBOR Method,282
Portable Meter or Probe (Unknown Model),272
Temperature measurement of surface water,270
Turbidity by Nephelometry,267
ROMN Insitu Water Quality with InSitu smarTroll Sonde,262
YSI ProODO Item #626279,260
"YSI ProPlus pH, temperature, Conductivity (us/cm), Dissolved oxygen (% saturation and mg/L)",260
YSI EXO3 Multiparameter Sonde,258
"Temperature, water, thermister",254
None Specified,235
Escherichia coli in Water by Membrane Filtration Using membrane-Thermotolerant E. coli Agar (mTEC),232
Multiprobe Field Analysis Hydrolab DS5.0,225
SOP for Measured Field Data,221
Temperature by HACH Pocket Thermometer,217
PIIC_QAPP,209
"Temperature, water,noncontact IR",198
Bunker_USGS Analytical Methods,192
Division of Marine Fisheries Marine Field Instrument Data,192
Lab sample temperature,192
Hanna Multi-probe Meter Model # HI991300,188
ROMN Insitu Water Quality with InSitu 9000 or 9500 Sonde,183
HQ40d Dual-Input pH/Conductivity/LDO Dissolved Oxygen Meter,177
Northeast Temperate Network YSI52 Multiparameter Sonde,176
Wichita Tribe Quality Assurance Project Plan,175
Field,172
Field Measurements Using the Hydrolab Datasonde 4,169
APAFR TMDL Study Field Parameters Collection Procedure,168
Temperature by Mercury Thermometer,158
WREQC-YSI-1,158
Field sampling params.,152
Field Measurements by In-Situ Aqua TROLL 600,147
Hach Sension1 Meter,146
pH in Water,146
"Specific Conductance, Temperature, and Salinity by YSI Model 130 Conductivity Meter",145
Air and Water Temperature,140
Onset HOBO Temperature Data Logger,138
2002.0 ~ EPA; ACUTE TOXICITY TESTS WITH EFFLUENTS AND RECIEVING WATERS USING CERIODAPHNIA DUBIA,133
"WA Ecology SOP EAP034 v1.5, Collection, Processing, and Analysis of Stream Samples",132
2000.0 ~ EPA; ACUTE TOXICITY TESTS FOR WATERS USING FATHEAD MINNOWS,126
Estero Bay Aquatic Preserve tributary sampling,126
Hydrolab H2O DataSonde and Scout 2 Display Unit,124
Eastern Shawnee Tribe of Oklahoma Quality Assurance Project Plan,115
Dissolved Oxygen and Temperature by James River Total Maximum Daily Load Standard Operating Procedure DLU-D-1,113
See Comments,113
YSI Model 54 Dissolved Oxygen Meter,112
Dissolved Oxygen (DO) by Optical (Luminescent) Sensor (LDO),105
Water Quality Parameters by YSI Data Sonde,105
2520 B ~ Salinity in Water- Electrical Conductivity Method,101
Oakton_PSCTester,100
Onset Hobo Temp Pro Temperature Datalogger,93
Fisher Scientific accumet Waterproof AP84 Portable pH/Dissolved Oxygen Meter,92
Hand-Held Thermometer,92
YSI Model 95 Handheld Dissolved Oxygen and Temperature System,92
THM01,91
HydroLab Scout 3 Used by MA DEP,88
Water Temperature by Thermometer USGS TWRI 1997,85
4500 F E ~ Fluoride in Water by Colorimetry,78
Emissions of Volatiles in Waste,78
USGS Unknown Field Analytical Procedure,75
No Field/Lab Analysis Performed,74
YSI 556 MPS Multiprobe System,74
YSI 33 SCT Meter,72
Water Quality Parameters from USGS Gaging Station Records,67
Corning Checkmate 90,65
Water Quality Parameters by Sea-Bird Electronics CTD 9/11+,60
YSI Model 518,60
YSI PRODSS Multiparameter Water Quality Field Instrument,60
Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark) Cell Sensor with Fixed Membrane (Flow Dependent),57
Other of Unknown Procedure,56
Hydrolab MiniSonde Data Logger Probes,54
Multiprobe Field Analysis with YSI ProPlus,52
ROMN Insitu Water Quality with Unspecified YSI Sonde,52
Conductivity and Temperature by Omega CDH-70 Conductivity Meter,50
Air and Surace Water Temperatures by Taylor Pocket Thermometers,48
IBC Dissolved Oxygen and Temperature Meter,48
Physical and Chemical Measurements with YSI Pro2030 Meter,48
Thermometer Fisher 15-077-9E,48
Historical Chemistry Data,47
"Portable Oakton Probe, unknown model or instrument number",47
QAPP-LAKE,47
Tuolumne Me-Wuk Tribal Council Quality Assurance Project Plan,41
Water Temperature by YSI 425C Tele-Thermometer,40
Hydrolab Model SVR2-SU Probe,39
PH IN WATER,37
4500 H ~ pH in Water,35
See QAPP,35
Quality Assurance Project Plan Chemical and Biological Monitoring and Unified Stream Assessments of the Ten Mile River and Major Tributaries,33
YSI 6800 Multi-parameter Water Quality Sonde,33
Nashua River Watershed Association,31
General Field,30
Temperature by APHA Standard Methods (13th Ed.) Method 162,30
Total Dissolved Gas Field Meter,29
FT_1400,28
Field Specific Conductance,28
Horiba U-10 Water Checker,28
In Situ Multi-parameter Data Collection Using YSI6920,27
National field manual for the collection of water-quality data,27
Salinity by Kahlsico Salinometer,26
In Situ Multi-parameter Data Collection Using Eureka,24
Temperature by Digital Thermometer,23
Field Sampling Protocol,22
Hydrolab Probe Model 4000,22
R10NPDES Analytical Methods,22
Extech 341450P Oyster pH/Temperature/Conductivity Meter,21
ROMN Insitu Water Quality with Hach MS5,21
Geotech Handheld WTW 340i Multiprobe Field Measurement,20
Hach sensION5 Conductivity Meter,20
Orion Model 122 Temperature-Compensated Specific Conductance Meter,20
Water Temperature by Lind 1974,20
Summary of Water Quality Data from LOTEK for SCCWRP Bight03 Survey,18
"Temperature, Water",18
Unknown method - historic STORET DATA,18
200.8 ~ EPA; Metals in Waters by ICP/MS,17
PH TEMPERATURE BY SM 2550B-00,17
SM 2550B-00,17
Temperature Measured with Taylor Thermometer,17
HyroLab Model 4041,16
Onset Optic StowAway Temperature Data Logger,15
Water temperature with pocket thermometer,15
"Flow, from Field Meter",14
WATER QUALITY MANUAL FOR VOLUNTEERS IN THE ST. JOHNS RIVER WATER MANAGEMENT DISTRICT,14
Hualapai-QAPP,13
Multiprobe Field Analysis with Eureka Manta +20,13
YSI Model 57 Dissolved Oxygen Meter,13
Hydrolab Probe-Unknown Model,12
ROMN Insitu Water Quality with InSitu Aqua Troll 600 Sonde,12
T-107 Campbell Temperature Sensor,12
pH by Continuous Monitoring,12
4500 O C ~ Total Dissolved Oxygen by Titration- Azide Modification,10
"Florida DEP field methods, general",10
10200 H ~ Chlorophyll a-b-c Determination,9
4500 N C ~ Persufate Method for Total Nitrogen,9
Hydrolab DataSonde 4 Data Logger Probes,9
Perstorp In-situ Multi-parameter Probe,9
SM 4500 H+B,9
Temperature by Omega Engineering Model 871 Thermocouple Thermometer,9
Alkalinity by Titration,8
"Water Temperature by Long-Stem Thermometer, Unknown Manufacturer",8
Hach Direct Reading Engineer's Laboratory Kit Model DR-EL,7
Multiprobe Field Analysis with YSI Quattro Multiprobe,7
Standard Operating Procedures,7
Temperature by H-B Instrument Company Thermometer with Enviro-Safe® Fluid,7
Water Temperature Determined by HACH Water Test Kit's Temperature Probe,7
Continuous In Situ Measurement for Flow Stage,6
Hach Model One pH Meter,6
Hydrolab Scout 2 Probe,6
In Situ Data Collection Using Various Multi-parameter Sondes in Noland Divide,6
Onset StowAway XTI Temperature Data Logger,6
"Salinity, Conductivity, and Temperature by Yellow Springs Instrument STC Meter",6
Turbidity in Water,6
Electromagnetic flow meter,5
USGS Standard Glass Thermometer,5
"Dissolved-oxygen concentration, field measurement by luminescent sensor",4
Water Temperature by Cole-Parmer Digi-Sense Thermocouple Thermometer,4
YSI 556 Handheld Multiprobe Field Measurement,4
200.1 ICP  ~ Acid Soluble Metals - ICP,3
Dissolved Oxygen in Water,3
Hydrolab 4000,3
Shiloh Branch PDL Results Determined by Regression Analysis with Tilghman Branch,3
Specific Conductance,3
Field Duplicate,2
"In-Situ Inc Troll Multi-parameter Water Quality Instrument, Unknown Model Number",2
NO ANALYTICAL METHOD. NOT APPLICABLE.,2
160.1 M ~ Total Dissolved Solids,1
2560 B ~ Particle Counting by Electrical Sensing,1
Colilert/2000,1
Field measurement of pH,1
"Flow, Estimated",1
Metals in Water by ICP-AES,1
Open-Channel Flow Measurement by Area,1
Procedure is unknown,1
Residue by Evaporation and Gravimetric,1
SM 4500-H,1
STANDARD METHOD 4500-H,1
Specific conductivity,1
Temperature and Resistance by Unknown Temperature Logger,1
